"stock_code","recency_days","frequency_completed","monetary_net","distinct_customers"
"21767",737,1,29.95,1
"79070B",737,1,22.52,NULL
"20739",737,1,17.30,NULL
"84648",737,1,12.75,1
"21838",737,1,5.45,1
"30086C",737,1,3.40,NULL
"35605A",737,1,0.00,NULL
"35751C",736,2,12.61,2
"21860",736,1,10.34,NULL
"84572",736,1,8.49,1
"20673",736,2,6.25,2
"35751D",736,1,5.32,1
"20737",736,1,3.40,NULL
"47556",736,1,2.55,1
"72754D",736,1,1.69,1
"10109",736,1,1.68,1
"21854",735,1,10.34,NULL
"37408",735,1,6.25,1
"16215",735,3,5.20,3
"84721",734,2,87.80,2
"72751A",734,1,5.95,1
"72751B",734,1,5.95,1
"72752A",734,1,4.25,1
"85024A",734,1,1.65,1
"84814B",733,3,15.60,2
"35051B",732,2,5.88,2
"47554",732,1,2.55,1
"84845A",732,1,1.25,1
"17084G",731,2,10.50,2
"85171",731,1,2.55,1
